UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
1027341,Callipo C,1976,,[Legal aspects of mineral waters].,Callipo C.[Legal aspects of mineral waters]. Ann Ist Super Sanita. 1976; 12(2-3):218-32. 
1903038,"Matthess G, Bedbur E, Gundermann KO, Loof M, Peters D",1991,Jan,[Comparative studies of the filtration behavior of bacteria and organic particles in porous groundwater conductors. Fundamentals and methods].,"Matthess G, Bedbur E, Gundermann KO, Loof M, Peters D.[Comparative studies of the filtration behavior of bacteria and organic particles in porous groundwater conductors. Fundamentals and methods]. Zentralbl Hyg Umweltmed. 1991 Jan; 191(1):53-97. "
2620669,Goldberg VM,1989,Nov,Groundwater pollution by nitrates from livestock wastes.,Goldberg VM.Groundwater pollution by nitrates from livestock wastes. Environ Health Perspect. 1989 Nov; 83:25-9. 
3687733,Preat B,1987,Oct,Application of geostatistical methods for estimation of the dispersion variance of occupational exposures.,Preat B.Application of geostatistical methods for estimation of the dispersion variance of occupational exposures. Am Ind Hyg Assoc J. 1987 Oct; 48(10):877-84. 
4043742,"Tulakin AV, Klimkina NV, Ekhina RS",1985,Jul,[Establishing methodological approaches to the hygienic evaluation of water-soluble polymers used in hydrogeology].,"Tulakin AV, Klimkina NV, Ekhina RS.[Establishing methodological approaches to the hygienic evaluation of water-soluble polymers used in hydrogeology]. Gig Sanit. 1985 Jul; (7):13-7. "
5172201,Marcé A,1971,,[Elements of isotopic hydrogeology. Applications to the mineral springs of Evian and Mont-Dore].,Marcé A.[Elements of isotopic hydrogeology. Applications to the mineral springs of Evian and Mont-Dore]. Presse Therm Clim. 1971; 108(3):155-64. 
7258925,"Melet JJ, Morlot M, Passavy J, Salado J",1980,,[Hydrogeology and medicine in the approach to health problems linked to nitrates: examples in Lorraine].,"Melet JJ, Morlot M, Passavy J, Salado J.[Hydrogeology and medicine in the approach to health problems linked to nitrates: examples in Lorraine]. Ann Nutr Aliment. 1980; 34(5-6):969-78. "
7466363,"Witherspoon PA, Cook NG, Gale JE",1981,Feb,Geologic storage of radioactive waste: field studies in Sweden.,"Witherspoon PA, Cook NG, Gale JE.Geologic storage of radioactive waste: field studies in Sweden. Science. 1981 Feb 27; 211(4485):894-900. "
10518663,"Gupta N, Fox TC",1999,Aug,Hydrogeologic modeling for permeable reactive barriers.,"Gupta N, Fox TC.Hydrogeologic modeling for permeable reactive barriers. J Hazard Mater. 1999 Aug 12; 68(1-2):19-39. "
10519087,"Garrido Frenich A, Torres-Lapasió JR, De Braekeleer K, Massart DL, Martínez Vidal JL, Martínez Galera M",1999,Sep,Application of several modified peak purity assays to real complex multicomponent mixtures by high-performance liquid chromatography with diode-array detection.,"Garrido Frenich A, Torres-Lapasió JR, De Braekeleer K, Massart DL, Martínez Vidal JL, Martínez Galera M.Application of several modified peak purity assays to real complex multicomponent mixtures by high-performance liquid chromatography with diode-array detection. J Chromatogr A. 1999 Sep 10; 855(2):487-99. "
10617427,"Frenich AG, Martínez Vidal J, Martínez Galera M",1999,Nov,Use of the cross-section technique linked with multivariate calibration methods to resolve complex pesticide mixtures.,"Frenich AG, Martínez Vidal J, Martínez Galera M.Use of the cross-section technique linked with multivariate calibration methods to resolve complex pesticide mixtures. Anal Chem. 1999 Nov 1; 71(21):4844-50. "
10939372,"Vandecasteele K, Gaus I, Debreuck W, Walraevens K",2000,Jul,Identification and quantification of 77 pesticides in groundwater using solid phase coupled to liquid-liquid microextraction and reversed-phase liquid chromatography.,"Vandecasteele K, Gaus I, Debreuck W, Walraevens K.Identification and quantification of 77 pesticides in groundwater using solid phase coupled to liquid-liquid microextraction and reversed-phase liquid chromatography. Anal Chem. 2000 Jul 15; 72(14):3093-101. "
11090301,Bølviken B,2000,Dec,Relationships between nasopharyngeal carcinoma and radioactive elements in soils in China.,Bølviken B.Relationships between nasopharyngeal carcinoma and radioactive elements in soils in China. Med Hypotheses. 2000 Dec; 55(6):513-6. 
11286064,Bayless ER,2001,Mar-Apr,Atrazine retention and degradation in the vadose zone at a till plain site in central Indiana.,Bayless ER.Atrazine retention and degradation in the vadose zone at a till plain site in central Indiana. Ground Water. 2001 Mar-Apr; 39(2):169-80. 
11375197,"Lehman RM, Colwell FS, Bala GA",2001,Jun,Attached and unattached microbial communities in a simulated basalt aquifer under fracture- and porous-flow conditions.,"Lehman RM, Colwell FS, Bala GA.Attached and unattached microbial communities in a simulated basalt aquifer under fracture- and porous-flow conditions. Appl Environ Microbiol. 2001 Jun; 67(6):2799-809. "
11381781,Hudak PF,2001,,Effects of groundwater velocity on sampling intervals for contaminant-detection networks in aquifers.,Hudak PF.Effects of groundwater velocity on sampling intervals for contaminant-detection networks in aquifers. J Environ Sci Health A Tox Hazard Subst Environ Eng. 2001; 36(1):117-22. 
11447857,"Lachassagne P, Wyns R, Bérard P, Bruel T, Chéry L, Coutand T, Desprats JF, Le Strat P",2001,Jul-Aug,Exploitation of high-yields in hard-rock aquifers: downscaling methodology combining GIS and multicriteria analysis to delineate field prospecting zones.,"Lachassagne P, Wyns R, Bérard P, Bruel T, Chéry L, Coutand T, Desprats JF, Le Strat P.Exploitation of high-yields in hard-rock aquifers: downscaling methodology combining GIS and multicriteria analysis to delineate field prospecting zones. Ground Water. 2001 Jul-Aug; 39(4):568-81. "
11761400,"Strauch G, Schreck P, Nardin G, Gehre M",2001,,Origin and distribution of sulphate in surface waters of the Mansfeld mining district (Central Germany)--a sulphur isotope study.,"Strauch G, Schreck P, Nardin G, Gehre M.Origin and distribution of sulphate in surface waters of the Mansfeld mining district (Central Germany)--a sulphur isotope study. Isotopes Environ Health Stud. 2001; 37(2):101-12. "
11767142,"Frenich AG, Pablos Espada MC, Martínez Vidal JL, Molina L",2001,Nov-Dec,"Broad-spectrum determination of pesticides in groundwater by gas chromatography with electron capture detection, nitrogen-phosphorus detection, and tandem mass spectrometry.","Frenich AG, Pablos Espada MC, Martínez Vidal JL, Molina L.Broad-spectrum determination of pesticides in groundwater by gas chromatography with electron capture detection, nitrogen-phosphorus detection, and tandem mass spectrometry. J AOAC Int. 2001 Nov-Dec; 84(6):1751-62. "
11868664,"Daby D, Turner J, Jago C",2002,Feb,Microbial and nutrient pollution of coastal bathing waters in Mauritius.,"Daby D, Turner J, Jago C.Microbial and nutrient pollution of coastal bathing waters in Mauritius. Environ Int. 2002 Feb; 27(7):555-66. "
11916115,Celia MA,2002,Mar-Apr,How hydrogeology can save the world.,Celia MA.How hydrogeology can save the world. Ground Water. 2002 Mar-Apr; 40(2):113. 
12019636,Phillips FM,2002,May-Jun,Hydrogeology: time for a new beginning?,Phillips FM.Hydrogeology: time for a new beginning? Ground Water. 2002 May-Jun; 40(3):217. 
12019637,"Miller CT, Gray WG",2002,May-Jun,Hydrogeological research: just getting started.,"Miller CT, Gray WG.Hydrogeological research: just getting started. Ground Water. 2002 May-Jun; 40(3):224-31; discussion 317-9. "
12102361,"Khalil N, Misdaq MA, Berrazzouk S, Mania J",2002,Jun,Characterization of the Oum Er Rbia (Morocco) high basin karstic water sources by using solid state nuclear track detectors and radon as a natural tracer.,"Khalil N, Misdaq MA, Berrazzouk S, Mania J.Characterization of the Oum Er Rbia (Morocco) high basin karstic water sources by using solid state nuclear track detectors and radon as a natural tracer. Appl Radiat Isot. 2002 Jun; 56(6):985-90. "
12109565,"Patil MP, Subramani T, Patil SA, Chakrabarti T",2002,Jun,Multi-level screening of a proposed hazardous waste treatment and disposal facility site--a case study.,"Patil MP, Subramani T, Patil SA, Chakrabarti T.Multi-level screening of a proposed hazardous waste treatment and disposal facility site--a case study. Environ Monit Assess. 2002 Jun; 76(3):299-309. "
12192902,"Martínez Vidal JL, Egea González FJ, Garrido Frenich A, Martínez Galera M, Aguilera PA, López Carrique E",2002,Aug,Assessment of relevant factors and relationships concerning human dermal exposure to pesticides in greenhouse applications.,"Martínez Vidal JL, Egea González FJ, Garrido Frenich A, Martínez Galera M, Aguilera PA, López Carrique E.Assessment of relevant factors and relationships concerning human dermal exposure to pesticides in greenhouse applications. Pest Manag Sci. 2002 Aug; 58(8):784-90. "
12219987,"Böhnke R, Geyer S, Kowski P",2002,Mar,Using environmental isotopes 2H and 18O for identification of infiltration processes in floodplain ecosystems of the River Elbe.,"Böhnke R, Geyer S, Kowski P.Using environmental isotopes 2H and 18O for identification of infiltration processes in floodplain ecosystems of the River Elbe. Isotopes Environ Health Stud. 2002 Mar; 38(1):1-13. "
12375091,"Sanchez-Martos F, Aguilera PA, Garrido-Frenich A, Torres JA, Pulido-Bosch A",2002,Nov,Assessment of groundwater quality by means of self-organizing maps: application in a semiarid area.,"Sanchez-Martos F, Aguilera PA, Garrido-Frenich A, Torres JA, Pulido-Bosch A.Assessment of groundwater quality by means of self-organizing maps: application in a semiarid area. Environ Manage. 2002 Nov; 30(5):716-26. "
