UID,Authors,PubDate(Year),PubDate(Month),Title,Summary
2405458,"Sigleo AC, Means JC","1990","","Organic and inorganic components in estuarine colloids: implications for sorption and transport of pollutants.","Sigleo AC, Means JC.Organic and inorganic components in estuarine colloids: implications for sorption and transport of pollutants. Rev Environ Contam Toxicol. 1990; 112:123-47." 
12153009,"Reghunath R, Sreedhara Murthy TR, Raghavan BR","2002","May","The utility of multivariate statistical techniques in hydrogeochemical studies: an example from Karnataka, India.","Reghunath R, Sreedhara Murthy TR, Raghavan BR.The utility of multivariate statistical techniques in hydrogeochemical studies: an example from Karnataka, India. Water Res. 2002 May; 36(10):2437-42." 
12805817,"Thomas SA, Valett HM, Mulholland PJ, Fellows CS, Webster JR, Dahm CN, Peterson CG","2001","Nov","Nitrogen retention in headwater streams: the influence of groundwater-surface water exchange.","Thomas SA, Valett HM, Mulholland PJ, Fellows CS, Webster JR, Dahm CN, Peterson CG.Nitrogen retention in headwater streams: the influence of groundwater-surface water exchange. ScientificWorldJournal. 2001 Nov 9; 1 Suppl 2:623-31." 
14653652,"Braaten R, Gates G","2003","","Groundwater-surface water interaction in inland New South Wales: a scoping study.","Braaten R, Gates G.Groundwater-surface water interaction in inland New South Wales: a scoping study. Water Sci Technol. 2003; 48(7):215-24." 
15212266,"Ren J, Packman AI","2004","May","Modeling of simultaneous exchange of colloids and sorbing contaminants between streams and streambeds.","Ren J, Packman AI.Modeling of simultaneous exchange of colloids and sorbing contaminants between streams and streambeds. Environ Sci Technol. 2004 May 15; 38(10):2901-11." 
16157173,"Schreiber M, Otto M, Fedotov PS, Wennrich R","2005","Sep","Dynamic studies on the mobility of trace elements in soil and sediment samples influenced by dumping of residues of the flood in the Mulde River region in 2002.","Schreiber M, Otto M, Fedotov PS, Wennrich R.Dynamic studies on the mobility of trace elements in soil and sediment samples influenced by dumping of residues of the flood in the Mulde River region in 2002. Chemosphere. 2005 Sep; 61(1):107-15." 
16190191,"Ren J, Packman AI","2005","Sep","Coupled stream-subsurface exchange of colloidal hematite and dissolved zinc, copper, and phosphate.","Ren J, Packman AI.Coupled stream-subsurface exchange of colloidal hematite and dissolved zinc, copper, and phosphate. Environ Sci Technol. 2005 Sep 1; 39(17):6387-94." 
16445185,"Zessner M, Schilling Ch, Gabriel O, Heinecke U","2005","","Nitrogen fluxes on catchment scale: the influence of hydrological aspects.","Zessner M, Schilling Ch, Gabriel O, Heinecke U.Nitrogen fluxes on catchment scale: the influence of hydrological aspects. Water Sci Technol. 2005; 52(9):163-73." 
16749702,"Loheide SP 2nd, Gorelick SM","2006","May","Quantifying stream-aquifer interactions through the analysis of remotely sensed thermographic profiles and in situ temperature histories.","Loheide SP 2nd, Gorelick SM.Quantifying stream-aquifer interactions through the analysis of remotely sensed thermographic profiles and in situ temperature histories. Environ Sci Technol. 2006 May 15; 40(10):3336-41." 
16870565,"Strauch G, Oyarzun J, Fiebig-Wittmaack M, González E, Weise SM","2006","Sep","Contributions of the different water sources to the Elqui river runoff (northern Chile) evaluated by H/O isotopes.","Strauch G, Oyarzun J, Fiebig-Wittmaack M, González E, Weise SM.Contributions of the different water sources to the Elqui river runoff (northern Chile) evaluated by H/O isotopes. Isotopes Environ Health Stud. 2006 Sep; 42(3):303-22." 
17182152,"Chapman SW, Parker BL, Cherry JA, Aravena R, Hunkeler D","2007","May","Groundwater-surface water interaction and its role on TCE groundwater plume attenuation.","Chapman SW, Parker BL, Cherry JA, Aravena R, Hunkeler D.Groundwater-surface water interaction and its role on TCE groundwater plume attenuation. J Contam Hydrol. 2007 May 14; 91(3-4):203-32." 
17223248,"Navarro A, Carbonell M","2007","Oct","Evaluation of groundwater contamination beneath an urban environment: the Besòs river basin (Barcelona, Spain).","Navarro A, Carbonell M.Evaluation of groundwater contamination beneath an urban environment: the Besòs river basin (Barcelona, Spain). J Environ Manage. 2007 Oct; 85(2):259-69." 
17702332,"Asher WE, Luo W, Campo KW, Bender DA, Robinson KW, Zogorski JS, Pankow JF","2007","Aug","Application of a source apportionment model in consideration of volatile organic compounds in an urban stream.","Asher WE, Luo W, Campo KW, Bender DA, Robinson KW, Zogorski JS, Pankow JF.Application of a source apportionment model in consideration of volatile organic compounds in an urban stream. Environ Toxicol Chem. 2007 Aug; 26(8):1606-13." 
18183448,"Venugopal T, Giridharan L, Jayaprakash M","2008","Aug","Groundwater quality assessment using chemometric analysis in the Adyar River, South India.","Venugopal T, Giridharan L, Jayaprakash M.Groundwater quality assessment using chemometric analysis in the Adyar River, South India. Arch Environ Contam Toxicol. 2008 Aug; 55(2):180-90." 
19132820,"Brack W, Apitz SE, Borchardt D, Brils J, Cardoso AC, Foekema EM, van Gils J, Jansen S, Harris B, Hein M, Heise S, Hellsten S, de Maagd PG, Müller D, Panov VE, Posthuma L, Quevauviller P, Verdonschot PF, von der Ohe PC","2009","Jan","Toward a holistic and risk-based management of European river basins.","Brack W, Apitz SE, Borchardt D, Brils J, Cardoso AC, Foekema EM, van Gils J, Jansen S, Harris B, Hein M, Heise S, Hellsten S, de Maagd PG, Müller D, Panov VE, Posthuma L, Quevauviller P, Verdonschot PF, von der Ohe PC.Toward a holistic and risk-based management of European river basins. Integr Environ Assess Manag. 2009 Jan; 5(1):5-10." 
19247793,"Subramani T, Rajmohan N, Elango L","2010","Mar","Groundwater geochemistry and identification of hydrogeochemical processes in a hard rock region, Southern India.","Subramani T, Rajmohan N, Elango L.Groundwater geochemistry and identification of hydrogeochemical processes in a hard rock region, Southern India. Environ Monit Assess. 2010 Mar; 162(1-4):123-37." 
19497610,"Gascuel-Odoux C, Aurousseau P, Durand P, Ruiz L, Molenat J","2010","Nov","The role of climate on inter-annual variation in stream nitrate fluxes and concentrations.","Gascuel-Odoux C, Aurousseau P, Durand P, Ruiz L, Molenat J.The role of climate on inter-annual variation in stream nitrate fluxes and concentrations. Sci Total Environ. 2010 Nov 1; 408(23):5657-66." 
19548025,"Han D, Liang X, Jin M, Currell MJ, Han Y, Song X","2009","Aug","Hydrogeochemical indicators of groundwater flow systems in the Yangwu River alluvial fan, Xinzhou Basin, Shanxi, China.","Han D, Liang X, Jin M, Currell MJ, Han Y, Song X.Hydrogeochemical indicators of groundwater flow systems in the Yangwu River alluvial fan, Xinzhou Basin, Shanxi, China. Environ Manage. 2009 Aug; 44(2):243-55." 
19552076,"Sargaonkar AP, Gupta A, Devotta S","2008","Jul","Multivariate analysis of groundwater resources in Ganga-Yamuna basin (India).","Sargaonkar AP, Gupta A, Devotta S.Multivariate analysis of groundwater resources in Ganga-Yamuna basin (India). J Environ Sci Eng. 2008 Jul; 50(3):215-22." 
19597873,"Palmer MA, Lettenmaier DP, Poff NL, Postel SL, Richter B, Warner R","2009","Dec","Climate change and river ecosystems: protection and adaptation options.","Palmer MA, Lettenmaier DP, Poff NL, Postel SL, Richter B, Warner R.Climate change and river ecosystems: protection and adaptation options. Environ Manage. 2009 Dec; 44(6):1053-68." 
19609693,"Prasanna MV, Chidambaram S, Shahul Hameed A, Srinivasamoorthy K","2010","Sep","Study of evaluation of groundwater in Gadilam basin using hydrogeochemical and isotope data.","Prasanna MV, Chidambaram S, Shahul Hameed A, Srinivasamoorthy K.Study of evaluation of groundwater in Gadilam basin using hydrogeochemical and isotope data. Environ Monit Assess. 2010 Sep; 168(1-4):63-90." 
